hospital_name,district,city,speciality,hospital_rating,success_rate,service_readiness_pct,ranking_score,speciality_rank,overall_rank,no_of_patients_treated
Healing Touch Hospital - Kapurthala,Kapurthala,Ludhiana,Gastroenterology,4.9,74.5,18.75,90.95,8,123,26714
Punjab Multispeciality Hospital - Rupnagar,Rupnagar,Jalandhar,Nephrology,4.9,74.5,31.25,90.95,7,124,26851
Lifeline Multispeciality Hospital - Patiala,Patiala,Phagwara,Urology,4.9,74.5,31.25,90.95,9,125,26988
Punjab Medical Centre - SAS Nagar,SAS Nagar,Kapurthala,Urology,4.9,74.5,25.0,90.95,10,126,27125
Sewa Medical Centre - Fazilka,Fazilka,Pathankot,Cardiology,4.9,74.4,31.25,90.92,15,127,27262
Healing Touch Healthcare - Malerkotla,Malerkotla,Rajpura,Nephrology,4.9,74.4,31.25,90.92,8,128,27399
City Care Medical Centre - Sangrur,Sangrur,Malerkotla,Orthopedics,4.9,74.4,31.25,90.92,10,129,27536
Shaheed Bhagat Singh Medical Centre - Faridkot,Faridkot,Moga,Pediatrics,4.9,74.4,31.25,90.92,8,130,27673
Apex Healthcare - Ludhiana,Ludhiana,Gurdaspur,Pulmonology,4.9,74.4,31.25,90.92,6,131,27810
Apex Medical Centre - Malerkotla,Malerkotla,Rupnagar,Gynecology,4.8,79.0,31.25,90.9,14,132,27947
Apex Medical Centre - Faridkot,Faridkot,Patiala,Gastroenterology,4.9,74.3,37.5,90.89,9,133,28084
Prime Care Hospital - Ludhiana,Ludhiana,Mohali,Gynecology,4.9,74.3,25.0,90.89,3,134,28221
Medicare Medical Centre - Bathinda,Bathinda,Kapurthala,Neurology,4.9,74.3,25.0,90.89,7,135,28358
Lifeline Multispeciality Hospital - Nawanshahr,Nawanshahr,Khanna,Dermatology,4.8,78.9,50.0,90.87,19,136,28495
Guru Nanak Multispeciality Hospital - Fazilka,Fazilka,Mohali,General Surgery,4.9,74.2,31.25,90.86,9,137,28632
Medicare Medical Centre - Ferozepur,Ferozepur,Phagwara,General Surgery,4.9,74.2,31.25,90.86,8,138,28769
Healing Touch Hospital - Pathankot,Pathankot,Barnala,Urology,4.9,74.2,25.0,90.86,11,139,28906
Fortune Hospital - Fatehgarh Sahib,Fatehgarh Sahib,Kapurthala,General Surgery,4.9,74.1,25.0,90.83,10,140,29043
Mata Kaushalya Healthcare - Malerkotla,Malerkotla,Amritsar,General Surgery,4.9,74.1,31.25,90.83,11,141,29180
Mata Kaushalya Multispeciality Hospital - Moga,Moga,Bathinda,Oncology,4.9,74.1,25.0,90.83,12,142,29317
Prime Care Healthcare - Sangrur,Sangrur,Barnala,Oncology,4.9,74.1,37.5,90.83,11,143,29454
Sunrise Multispeciality Hospital - Jalandhar,Jalandhar,Kapurthala,Ophthalmology,4.9,74.1,25.0,90.83,4,144,29591
Medicare Healthcare - Patiala,Patiala,Mohali,Dermatology,4.8,78.7,43.75,90.81,20,145,29728
Prime Care Medical Centre - Muktsar,Muktsar,Mohali,Dermatology,4.9,74.0,25.0,90.8,11,146,29865
Punjab Multispeciality Hospital - Fatehgarh Sahib,Fatehgarh Sahib,Gurdaspur,Oncology,4.9,74.0,25.0,90.8,13,147,30002
Medicare Hospital - Kapurthala,Kapurthala,Mohali,Ophthalmology,4.9,74.0,31.25,90.8,5,148,30139
Mata Kaushalya Medical Centre - Tarn Taran,Tarn Taran,Amritsar,Gastroenterology,4.8,78.6,43.75,90.78,23,149,30276
Punjab Multispeciality Hospital - Bathinda,Bathinda,Malerkotla,Dermatology,4.9,73.9,37.5,90.77,12,150,30413
Guru Nanak Multispeciality Hospital - Hoshiarpur,Hoshiarpur,Kapurthala,ENT,4.9,73.9,31.25,90.77,11,151,30550
Guru Nanak Medical Centre - Fatehgarh Sahib,Fatehgarh Sahib,Patiala,Gynecology,4.9,73.9,25.0,90.77,4,152,30687
Healing Touch Medical Centre - Mansa,Mansa,Phagwara,Nephrology,4.9,73.9,25.0,90.77,9,153,30824
Sunrise Hospital - Amritsar,Amritsar,Amritsar,Ophthalmology,4.9,73.9,31.25,90.77,7,154,30961
Sunrise Hospital - Ferozepur,Ferozepur,Nawanshahr,Ophthalmology,4.9,73.9,25.0,90.77,6,155,31098
Apex Multispeciality Hospital - Ferozepur,Ferozepur,Rajpura,Cardiology,4.8,78.5,37.5,90.75,25,156,31235
Mata Kaushalya Hospital - Barnala,Barnala,Kapurthala,Gynecology,4.8,78.5,37.5,90.75,15,157,31372
Apex Hospital - Sangrur,Sangrur,Bathinda,Gastroenterology,4.9,73.8,37.5,90.74,10,158,31509
Guru Nanak Hospital - Hoshiarpur,Hoshiarpur,Ludhiana,General Surgery,4.9,73.8,37.5,90.74,13,159,31646
Mata Kaushalya Medical Centre - Pathankot,Pathankot,Barnala,General Surgery,4.9,73.8,31.25,90.74,12,160,31783
Mata Kaushalya Multispeciality Hospital - Kapurthala,Kapurthala,Rupnagar,Nephrology,4.9,73.8,31.25,90.74,10,161,31920
City Care Multispeciality Hospital - Malerkotla,Malerkotla,Ludhiana,Neurology,4.9,73.8,25.0,90.74,8,162,32057
Fortune Medical Centre - Fatehgarh Sahib,Fatehgarh Sahib,Moga,Orthopedics,4.9,73.8,31.25,90.74,11,163,32194
Prime Care Hospital - Gurdaspur,Gurdaspur,Mohali,Pediatrics,4.9,73.8,25.0,90.74,9,164,32331
Sunrise Healthcare - Moga,Moga,Patiala,Cardiology,4.9,73.7,37.5,90.71,16,165,32468
Prime Care Medical Centre - Nawanshahr,Nawanshahr,Bathinda,Dermatology,4.9,73.7,25.0,90.71,13,166,32605
Sewa Medical Centre - Nawanshahr,Nawanshahr,Sangrur,ENT,4.9,73.7,37.5,90.71,12,167,32742
Prime Care Healthcare - Ludhiana,Ludhiana,Pathankot,General Medicine,4.9,73.7,25.0,90.71,9,168,32879
Mata Kaushalya Medical Centre - Faridkot,Faridkot,Kapurthala,Ophthalmology,4.9,73.7,37.5,90.71,8,169,33016
Shaheed Bhagat Singh Multispeciality Hospital - Bathinda,Bathinda,Gurdaspur,Ophthalmology,4.9,73.7,31.25,90.71,9,170,33153
Fortune Healthcare - Bathinda,Bathinda,Pathankot,Neurology,4.8,78.3,37.5,90.69,14,171,33290
Sunrise Multispeciality Hospital - Sangrur,Sangrur,Bathinda,Dermatology,4.9,73.6,31.25,90.68,14,172,33427
Shivalik Healthcare - Kapurthala,Kapurthala,Moga,General Surgery,4.9,73.6,37.5,90.68,14,173,33564
Healing Touch Medical Centre - Fazilka,Fazilka,Moga,Neurology,4.9,73.6,25.0,90.68,9,174,33701
Apex Multispeciality Hospital - Moga,Moga,Gurdaspur,Orthopedics,4.9,73.6,31.25,90.68,12,175,33838
Lifeline Healthcare - Pathankot,Pathankot,Mohali,Pediatrics,4.8,78.2,31.25,90.66,12,176,33975
Mata Kaushalya Hospital - Ludhiana,Ludhiana,Jalandhar,Dermatology,4.9,73.5,25.0,90.65,15,177,34112
Maharaja Ranjit Singh Multispeciality Hospital - Bathinda,Bathinda,Jalandhar,ENT,4.9,73.5,31.25,90.65,13,178,34249
Medicare Medical Centre - Nawanshahr,Nawanshahr,Ludhiana,Gastroenterology,4.9,73.5,37.5,90.65,11,179,34386
Sewa Multispeciality Hospital - Kapurthala,Kapurthala,Bathinda,Gynecology,4.9,73.5,37.5,90.65,5,180,34523
City Care Multispeciality Hospital - Fazilka,Fazilka,Rajpura,Orthopedics,4.9,73.5,37.5,90.65,13,181,34660
Shaheed Bhagat Singh Medical Centre - Moga,Moga,Rajpura,ENT,4.8,78.1,37.5,90.63,18,182,34797
Punjab Hospital - Mansa,Mansa,Abohar,General Surgery,4.8,78.1,43.75,90.63,21,183,34934
Medicare Multispeciality Hospital - Bathinda,Bathinda,Rupnagar,Neurology,4.8,78.1,37.5,90.63,15,184,35071
Shaheed Bhagat Singh Multispeciality Hospital - Amritsar,Amritsar,Sangrur,Orthopedics,4.8,78.1,43.75,90.63,18,185,35208
Sewa Medical Centre - Faridkot,Faridkot,Amritsar,Pediatrics,4.8,78.1,37.5,90.63,13,186,35345
Maharaja Ranjit Singh Hospital - Fazilka,Fazilka,Khanna,Orthopedics,4.9,73.4,25.0,90.62,14,187,35482
Lifeline Hospital - Ludhiana,Ludhiana,Sangrur,ENT,4.9,73.3,31.25,90.59,14,188,35619
City Care Healthcare - Moga,Moga,Amritsar,Gastroenterology,4.9,73.3,25.0,90.59,13,189,35756
Mata Kaushalya Multispeciality Hospital - Hoshiarpur,Hoshiarpur,Patiala,Gastroenterology,4.9,73.3,18.75,90.59,12,190,35893
Healing Touch Hospital - Ludhiana,Ludhiana,Rajpura,Pulmonology,4.9,73.3,31.25,90.59,8,191,36030
Shivalik Healthcare - Fazilka,Fazilka,Moga,Pulmonology,4.9,73.3,31.25,90.59,7,192,36167
Healing Touch Medical Centre - Bathinda,Bathinda,Bathinda,Cardiology,4.8,77.9,43.75,90.57,26,193,36304
Lifeline Hospital - Rupnagar,Rupnagar,Khanna,Cardiology,4.9,73.2,31.25,90.56,17,194,36441
City Care Medical Centre - Ferozepur,Ferozepur,Mohali,Gastroenterology,4.9,73.2,31.25,90.56,14,195,36578
Fortune Medical Centre - SAS Nagar,SAS Nagar,Muktsar,General Medicine,4.9,73.2,25.0,90.56,11,196,36715
Guru Nanak Multispeciality Hospital - Malerkotla,Malerkotla,Firozpur,General Medicine,4.9,73.2,25.0,90.56,10,197,36852
Healing Touch Medical Centre - Patiala,Patiala,Mansa,Nephrology,4.9,73.2,18.75,90.56,11,198,36989
Sewa Multispeciality Hospital - Faridkot,Faridkot,Abohar,Ophthalmology,4.9,73.2,25.0,90.56,10,199,37126
Apex Medical Centre - Mansa,Mansa,Rajpura,Pediatrics,4.8,77.8,43.75,90.54,14,200,37263
Guru Nanak Hospital - Faridkot,Faridkot,Muktsar,Urology,4.9,73.1,31.25,90.53,12,201,37400
Healing Touch Medical Centre - Ferozepur,Ferozepur,Muktsar,Dermatology,4.8,77.7,43.75,90.51,21,202,37537
Shivalik Multispeciality Hospital - Fatehgarh Sahib,Fatehgarh Sahib,Ludhiana,ENT,4.8,77.7,43.75,90.51,19,203,37674
City Care Medical Centre - Amritsar,Amritsar,Phagwara,Cardiology,4.9,73.0,25.0,90.5,18,204,37811
Apex Hospital - Patiala,Patiala,Nawanshahr,Pediatrics,4.9,73.0,31.25,90.5,10,205,37948
Shivalik Healthcare - Mansa,Mansa,Hoshiarpur,Ophthalmology,4.8,77.6,43.75,90.48,16,206,38085
Prime Care Multispeciality Hospital - Jalandhar,Jalandhar,Moga,Ophthalmology,4.9,72.9,31.25,90.47,11,207,38222
Fortune Healthcare - Kapurthala,Kapurthala,Abohar,Gastroenterology,4.9,72.8,31.25,90.44,15,208,38359
Fortune Healthcare - Mansa,Mansa,Ludhiana,Gastroenterology,4.9,72.8,31.25,90.44,16,209,38496
Fortune Multispeciality Hospital - Bathinda,Bathinda,Abohar,Pulmonology,4.9,72.8,31.25,90.44,9,210,38633
Shaheed Bhagat Singh Healthcare - Hoshiarpur,Hoshiarpur,Bathinda,Pulmonology,4.9,72.8,25.0,90.44,10,211,38770
Medicare Hospital - Ludhiana,Ludhiana,Kapurthala,Cardiology,4.8,77.4,31.25,90.42,27,212,38907
Shivalik Multispeciality Hospital - Rupnagar,Rupnagar,Khanna,Oncology,4.8,77.4,31.25,90.42,22,213,39044
Guru Nanak Multispeciality Hospital - Fazilka,Fazilka,Phagwara,General Surgery,4.9,72.7,31.25,90.41,16,214,39181
Mata Kaushalya Healthcare - Fazilka,Fazilka,Rupnagar,General Surgery,4.9,72.7,25.0,90.41,15,215,39318
Fortune Healthcare - Mansa,Mansa,Rajpura,Oncology,4.9,72.7,31.25,90.41,14,216,39455
Sunrise Healthcare - Faridkot,Faridkot,Jalandhar,Cardiology,4.8,77.3,37.5,90.39,28,217,39592
Apex Medical Centre - Patiala,Patiala,Firozpur,Orthopedics,4.8,77.3,43.75,90.39,19,218,39729
Healing Touch Hospital - Amritsar,Amritsar,Patiala,Cardiology,4.9,72.6,31.25,90.38,19,219,39866
Apex Hospital - Malerkotla,Malerkotla,Hoshiarpur,Dermatology,4.9,72.6,31.25,90.38,16,220,40003
Medicare Hospital - Kapurthala,Kapurthala,Phagwara,ENT,4.8,77.2,31.25,90.36,20,221,40140
Fortune Multispeciality Hospital - Bathinda,Bathinda,Bathinda,Gastroenterology,4.8,77.2,43.75,90.36,24,222,40277
Sunrise Hospital - Barnala,Barnala,Kapurthala,Ophthalmology,4.8,77.2,43.75,90.36,17,223,40414
Mata Kaushalya Medical Centre - Tarn Taran,Tarn Taran,Rajpura,Cardiology,4.9,72.5,25.0,90.35,20,224,40551
